setting,method,n_seeds,auroc_mean,auroc_std,f1_mean,f1_std,acc_mean,acc_std,aupr_mean,aupr_std
common,Softmax baseline,5,0.6588060522011678,0.008540197297982055,0.5873470572310002,0.02367352146806416,0.6239401496259351,0.013901708694168064,0.6530454365431687,0.02513434530130116
common,EviDDIE w/o BSA,5,0.6621913545313772,0.015589136747966312,0.5776134851309245,0.028743169669933035,0.6192518703241896,0.015266571400028713,0.6603976080304738,0.03199739718117636
common,EviDDIE w/o EVI,5,0.6652247685026833,0.01311804149595007,0.5854177456623011,0.03210203529422845,0.623491271820449,0.01941386498403778,0.6649247359614903,0.026987741540411846
common,EviDDIE,5,0.6723840025870487,0.01537643926952265,0.6258680450554704,0.01797813140221228,0.6075311720698254,0.022250426922856767,0.6762049840730138,0.03205272308127981
fewer,Softmax baseline,5,0.6028042099192618,0.06862086191686662,0.5258314336317582,0.09406546697674878,0.5845588235294118,0.049948310459922894,0.6021116829349552,0.035627625605156796
fewer,EviDDIE w/o BSA,5,0.6076220684352173,0.06497746918324993,0.5052730262900499,0.08095270830587216,0.5696078431372549,0.041575736998384814,0.6151044523256003,0.040720269102276704
fewer,EviDDIE w/o EVI,5,0.5979082564398309,0.06247009459748563,0.5219046597240072,0.09906172751745891,0.5757352941176471,0.04531596960360613,0.6019924126278999,0.030386543363514106
fewer,EviDDIE,5,0.5991950211457132,0.04971270915523077,0.5993874630776779,0.04277281991965121,0.5821078431372549,0.036246345717253645,0.6076244911313922,0.027214917148218876
rare,Softmax baseline,5,0.7226851851851852,0.03573951764232467,0.679149908779503,0.03426804885726401,0.6712962962962964,0.02942638626309388,0.683991272389273,0.03775000379697219
rare,EviDDIE w/o BSA,5,0.7282407407407407,0.03624726331465612,0.6685020782752294,0.031533495866341854,0.662962962962963,0.0333076032381573,0.6940174350229718,0.038606963224203206
rare,EviDDIE w/o EVI,5,0.721690672153635,0.0347040503516527,0.6623081031203153,0.05147440044581658,0.6564814814814814,0.034817769772154,0.6765658646712455,0.042360768689069926
rare,EviDDIE,5,0.7238254458161866,0.044969375226430214,0.7035766097013589,0.04406637088590572,0.6611111111111111,0.04434788894380759,0.6760564781330315,0.07032097669807545
