auroc,auprc,acc,f1_macro,ece,brier,nll,hce,hce_coverage,hce_count,hce_err,intercept,slope,n,bin_counts,setting,method,row,train_seed,scaled
0.568390162437524,0.5921931720104332,0.5575980392156863,0.5075116729755156,0.1118599755882353,0.2774782129617643,0.8152670743938214,0.625,0.13725490196078433,112,70,0.25054850486562613,0.6044794802146776,816,[112  56  62  32 123 383  12  19  17   0],fewer,EviDDIE,EviDDIE,19940419,False
0.6659217608612071,0.649982146788706,0.6200980392156863,0.6015570351802813,0.0839001623284314,0.23489840672526294,0.6639728414927267,,0.0,0,0,0.032861501453683176,0.8772185760940959,816,[  0  21 196 125  74  69 109 186  36   0],fewer,EviDDIE,EviDDIE,20230801,False
0.6495007929642446,0.6277028901267842,0.6299019607843137,0.5727545778040659,0.12475137593137257,0.2467355059465385,0.694197283643982,0.19047619047619047,0.025735294117647058,21,4,0.25274513235774293,0.5233500381454916,816,[ 21  90  77  51 197 289  58  25   8   0],fewer,EviDDIE,EviDDIE,20240115,False
0.537278330449827,0.5750916946131632,0.5379901960784313,0.48500842507422254,0.10375850367647058,0.27963314502697034,0.814766798195207,0.6989247311827957,0.11397058823529412,93,65,0.27296582524299956,0.6853949963811415,816,[ 92  56  48  54 163 358  12  15  17   1],fewer,EviDDIE,EviDDIE,20240520,False
0.5748840590157631,0.5931525521178738,0.5649509803921569,0.6538160032756379,0.0384963879534313,0.2397020514974005,0.6735501565587203,0.21052631578947367,0.023284313725490197,19,4,0.12278413138990646,0.8110348314023539,816,[ 19  43  26  46  49 553  16  44  20   0],fewer,EviDDIE,EviDDIE,20240910,False
0.568390162437524,0.5921931720104332,0.5575980392156863,0.5075116729755156,0.08800541539787513,0.25321245040418244,0.7011258289517686,,0.0,0,0,0.420356233628644,0.39461869620678125,816,[  0   0  41 130 214 414  17   0   0   0],fewer,EviDDIE,EviDDIE + TempScale,19940419,True
0.6659217608612071,0.649982146788706,0.6200980392156863,0.6015570351802813,0.026377268180212122,0.22969869573804638,0.6514326519544911,,0.0,0,0,-0.11077839998063432,1.149237284991174,816,[  0   0  34 247 135 117 243  40   0   0],fewer,EviDDIE,EviDDIE + TempScale,20230801,True
0.6495007929642446,0.6277028901267842,0.6299019607843137,0.5727545778040659,0.1159959708082825,0.24314537228147529,0.6814920856495277,0.25,0.004901960784313725,4,1,0.2516073837473423,0.48788014740574054,816,[  4  57  95  81 199 308  57  13   2   0],fewer,EviDDIE,EviDDIE + TempScale,20240115,True
0.537278330449827,0.5750916946131632,0.5379901960784313,0.48500842507422254,0.07950115638364819,0.2667921608228135,0.7427489595491048,,0.0,0,0,0.20299971924608146,0.8471494964403042,816,[  0  88  62  67 196 363  22  17   1   0],fewer,EviDDIE,EviDDIE + TempScale,20240520,True
0.5748840590157631,0.5931525521178738,0.5649509803921569,0.6538160032756379,0.0368184765023125,0.2384545997197737,0.6692114052496763,0.0,0.0012254901960784314,1,0,0.01674408412868807,0.9555518693617674,816,[  1  46  29  47  60 555  27  51   0   0],fewer,EviDDIE,EviDDIE + TempScale,20240910,True
0.5469771241830065,0.5744333224774577,0.5477941176470589,0.43313422584279465,0.19407350813725485,0.3075245529388633,1.1129567732164423,0.4716981132075472,0.25980392156862747,212,100,0.34373182905962146,0.4077288978779898,816,[192  80  73  55 105 139  95  33  24  20],fewer,Softmax baseline,Softmax baseline,19940419,False
0.7085796328335255,0.6524136844269015,0.6691176470588235,0.6419071475078475,0.10502851383578429,0.22050038595699278,0.6294634896750745,0.0,0.006127450980392157,5,0,-0.08742846333777475,1.115615648808319,816,[  5  29 105 161 104 276 126   9   1   0],fewer,Softmax baseline,Softmax baseline,20230801,False
0.6228313629373318,0.6005015578067825,0.5992647058823529,0.4716747848585217,0.1471975618627451,0.2711680476044314,0.8078386000106247,0.3969465648854962,0.16053921568627452,131,52,0.44817527037454363,0.06548765254905951,816,[126 109 105  90 107  94  79  64  37   5],fewer,Softmax baseline,Softmax baseline,20240115,False
0.5112937331795463,0.5540091864513988,0.5232843137254902,0.3152690425799254,0.2183316855514706,0.3234559177019177,1.2976263510280592,0.5,0.25245098039215685,206,103,0.3390333307708234,0.42804084197946873,816,[198  59 126  93 117 101  63  26  25   8],fewer,Softmax baseline,Softmax baseline,20240520,False
0.6243391964628988,0.6292006635122355,0.5833333333333334,0.532218490921021,0.08701996373774505,0.24893576080707072,0.7159686391198943,0.35,0.07352941176470588,60,21,0.37925687270332403,0.17001534804693968,816,[ 59  58  73 123 131 212  79  40  40   1],fewer,Softmax baseline,Softmax baseline,20240910,False
0.5469771241830065,0.5744333224774577,0.5477941176470589,0.43313422584279465,0.07938158778527594,0.2582217710508099,0.713474299253556,,0.0,0,0,0.8301823186276172,-0.4768891851188246,816,[  0   1  87 106 311 290  21   0   0   0],fewer,Softmax baseline,Softmax baseline + TempScale,19940419,True
0.7085796328335255,0.6524136844269015,0.6691176470588235,0.6419071475078475,0.08992648553491815,0.22411803356933097,0.6389868685148702,,0.0,0,0,-0.3706037778980416,1.8138482580485105,816,[  0   6  48 178 172 347  64   1   0   0],fewer,Softmax baseline,Softmax baseline + TempScale,20230801,True
0.6228313629373318,0.6005015578067825,0.5992647058823529,0.4716747848585217,0.05509903286382051,0.24234931934896042,0.6785711514641534,0.3333333333333333,0.003676470588235294,3,1,0.26316556679736786,0.5360850286163445,816,[  3   5  35 164 330 247  32   0   0   0],fewer,Softmax baseline,Softmax baseline + TempScale,20240115,True
0.5112937331795463,0.5540091864513988,0.5232843137254902,0.3152690425799254,0.09060308262167634,0.2770223017293648,0.7740516676948735,0.8571428571428571,0.00857843137254902,7,6,0.653204211878429,-0.22426453737547164,816,[  7  66  49 122 349 196  27   0   0   0],fewer,Softmax baseline,Softmax baseline + TempScale,20240520,True
0.6243391964628988,0.6292006635122355,0.5833333333333334,0.532218490921021,0.03810900588101868,0.23937244512030204,0.673488273101564,0.14285714285714285,0.00857843137254902,7,1,0.08449198552560234,0.9385541525627088,816,[  7  33  49 109 246 284  58  30   0   0],fewer,Softmax baseline,Softmax baseline + TempScale,20240910,True
