setting,method,metric,native_mean,ts_mean,diff,p_paired_t
fewer,EviDDIE,ece,0.09255328109558823,0.06933965745446609,0.023213623641122144,0.07334084018191857
fewer,EviDDIE,brier,0.2556894644315873,0.2462606557932583,0.009428808638329012,0.08747995012440261
fewer,EviDDIE,nll,0.7323508308568915,0.6892021862709137,0.04314864458597778,0.11517913380558206
fewer,Softmax baseline,ece,0.150330246625,0.07062383893734192,0.07970640768765808,0.01912653729922775
fewer,Softmax baseline,brier,0.2743169330018552,0.24821677416375362,0.0261001588381016,0.06414587154187842
fewer,Softmax baseline,nll,0.9127707706100189,0.6957144520058034,0.21705631860421548,0.10542669132268467
fewer,EviDDIE w/o EVI,ece,0.16997190294607845,0.0754453593261304,0.09452654361994804,0.012344198612140816
fewer,EviDDIE w/o EVI,brier,0.2806861671767759,0.24504518035929285,0.03564098681748307,0.04810648956835551
fewer,EviDDIE w/o EVI,nll,0.8757090446946009,0.6846347647422122,0.19107427995238868,0.06733624707961913
fewer,EviDDIE w/o BSA,ece,0.26154347758823526,0.0612028782862047,0.20034059930203058,0.0014623971346031577
fewer,EviDDIE w/o BSA,brier,0.32672572358795315,0.24678565851314782,0.07994006507480533,0.009653168152172244
fewer,EviDDIE w/o BSA,nll,1.1142742128185117,0.6867759953956682,0.42749821742284344,0.02448847073866879
rare,EviDDIE,ece,0.10402975085185184,0.11589165799830677,-0.011861907146454923,0.15408491046149136
rare,EviDDIE,brier,0.21817991949118318,0.22345869202168775,-0.005278772530504572,0.059565048182225966
rare,EviDDIE,nll,0.62322915699488,0.6374753447885035,-0.014246187793623522,0.06444946211106085
rare,Softmax baseline,ece,0.09832642201851852,0.11304265805822378,-0.01471623603970526,0.21670189205077978
rare,Softmax baseline,brier,0.21458277598791814,0.22446343172757457,-0.009880655739656435,0.04002059585102211
rare,Softmax baseline,nll,0.6182569090307688,0.6402288754567491,-0.021971966425980316,0.04981724596543552
rare,EviDDIE w/o EVI,ece,0.10050843995370369,0.09326334317010333,0.007245096783600358,0.4443778629057918
rare,EviDDIE w/o EVI,brier,0.21773702357805616,0.22036294557246205,-0.0026259219944058942,0.3744815200922489
rare,EviDDIE w/o EVI,nll,0.6323555538155844,0.6313597497288531,0.0009958040867312778,0.8887124470881265
rare,EviDDIE w/o BSA,ece,0.19083864212962964,0.12055259287865505,0.07028604925097459,0.13615664933675117
rare,EviDDIE w/o BSA,brier,0.2503733622076275,0.23110818573233832,0.019265176475289192,0.27467225366367165
rare,EviDDIE w/o BSA,nll,0.7431285719512594,0.6547293186511022,0.08839925330015719,0.14274186629027094
