setting,shot,signal,aurc_mean,aurc_sd,curve_mean,curve_sd,coverage_0.30_risk_mean,coverage_0.30_risk_sd,coverage_0.30_random_ci_half,coverage_0.50_risk_mean,coverage_0.50_risk_sd,coverage_0.50_random_ci_half,coverage_0.70_risk_mean,coverage_0.70_risk_sd,coverage_0.70_random_ci_half,error_auroc_mean,error_auroc_sd,error_auprc_mean,error_auprc_sd
fewer,0,p,0.3700133983380159,0.034625695860352745,"0.2049,0.2878,0.3328,0.3779,0.3833,0.3976,0.3923,0.3957,0.3984,0.4132,0.4214,0.4355,0.4381,0.4560,0.4647,0.4711,0.4833,0.4992,0.4991","0.1165,0.0306,0.0598,0.0823,0.0848,0.0943,0.0825,0.0701,0.0632,0.0518,0.0374,0.0334,0.0247,0.0236,0.0249,0.0279,0.0273,0.0282,0.0155",,,,,,,,,,,,,
fewer,0,msp,0.45103563207996844,0.03856686759507605,"0.4439,0.4585,0.4984,0.5166,0.5108,0.5143,0.5147,0.5190,0.5172,0.5147,0.5127,0.5037,0.4992,0.4949,0.4961,0.4882,0.4954,0.4962,0.4965","0.2531,0.2138,0.1127,0.0852,0.0767,0.0557,0.0440,0.0338,0.0260,0.0296,0.0321,0.0245,0.0228,0.0211,0.0217,0.0116,0.0174,0.0184,0.0097",,,,,,,,,,,,,
fewer,0,margin,0.45107336792902497,0.038542222550179896,"0.4439,0.4585,0.4984,0.5166,0.5108,0.5143,0.5147,0.5190,0.5172,0.5147,0.5127,0.5037,0.5000,0.4949,0.4961,0.4882,0.4954,0.4962,0.4965","0.2531,0.2138,0.1127,0.0852,0.0767,0.0557,0.0440,0.0338,0.0260,0.0296,0.0321,0.0245,0.0235,0.0211,0.0217,0.0116,0.0174,0.0184,0.0097",,,,,,,,,,,,,
fewer,0,entropy,0.4510299534226977,0.03781737983591887,"0.4439,0.4585,0.4984,0.5166,0.5108,0.5143,0.5147,0.5190,0.5172,0.5142,0.5082,0.4988,0.4958,0.4960,0.5007,0.4949,0.4957,0.4954,0.4991","0.2531,0.2138,0.1127,0.0852,0.0767,0.0557,0.0440,0.0338,0.0260,0.0288,0.0243,0.0178,0.0178,0.0207,0.0199,0.0173,0.0220,0.0182,0.0127",,,,,,,,,,,,,
fewer,0,u,0.45209407185243855,0.03907815549726741,"0.4439,0.4585,0.4984,0.5166,0.5108,0.5143,0.5154,0.5196,0.5183,0.5137,0.5091,0.5045,0.5034,0.4970,0.4961,0.4998,0.4983,0.4970,0.4983","0.2531,0.2138,0.1127,0.0852,0.0767,0.0557,0.0449,0.0346,0.0275,0.0294,0.0286,0.0286,0.0288,0.0264,0.0169,0.0163,0.0195,0.0212,0.0109",,,,,,,,,,,,,
fewer,0,random,0.45,0.0,"0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",,,,,,,,,,,,,
fewer,0,p,,,,,0.39755102040816326,0.09425832272845641,,,,,,,,,,,
fewer,0,msp,,,,,0.5142857142857142,0.05566604774279941,,,,,,,,,,,
fewer,0,margin,,,,,0.5142857142857142,0.05566604774279941,,,,,,,,,,,
fewer,0,entropy,,,,,0.5142857142857142,0.05566604774279941,,,,,,,,,,,
