setting,shot,signal,aurc_mean,aurc_sd,curve_mean,curve_sd,coverage_0.30_risk_mean,coverage_0.30_risk_sd,coverage_0.30_random_ci_half,coverage_0.50_risk_mean,coverage_0.50_risk_sd,coverage_0.50_random_ci_half,coverage_0.70_risk_mean,coverage_0.70_risk_sd,coverage_0.70_random_ci_half,error_auroc_mean,error_auroc_sd,error_auprc_mean,error_auprc_sd
fewer,0,p,0.45070390822856277,0.0001816221664637103,"0.5000,0.4816,0.5123,0.5020,0.5007,0.5014,0.5041,0.5015,0.4980,0.5041,0.4999,0.5006,0.5066,0.5012,0.5002,0.5026,0.4988,0.4991,0.4990","0.0000,0.0000,0.0039,0.0038,0.0019,0.0000,0.0008,0.0000,0.0017,0.0000,0.0008,0.0006,0.0006,0.0000,0.0003,0.0000,0.0008,0.0002,0.0004",,,,,,,,,,,,,
fewer,0,msp,0.45134971030132237,0.0003447910072555172,"0.5197,0.5078,0.5063,0.4902,0.4993,0.4973,0.4982,0.5040,0.5004,0.5007,0.4963,0.5017,0.4999,0.5050,0.5112,0.4997,0.4993,0.4994,0.5010","0.0073,0.0022,0.0036,0.0009,0.0009,0.0000,0.0020,0.0012,0.0016,0.0011,0.0000,0.0014,0.0003,0.0010,0.0003,0.0005,0.0013,0.0022,0.0024",,,,,,,,,,,,,
fewer,0,margin,0.45134971030132237,0.0003447910072555172,"0.5197,0.5078,0.5063,0.4902,0.4993,0.4973,0.4982,0.5040,0.5004,0.5007,0.4963,0.5017,0.4999,0.5050,0.5112,0.4997,0.4993,0.4994,0.5010","0.0073,0.0022,0.0036,0.0009,0.0009,0.0000,0.0020,0.0012,0.0016,0.0011,0.0000,0.0014,0.0003,0.0010,0.0003,0.0005,0.0013,0.0022,0.0024",,,,,,,,,,,,,
fewer,0,entropy,0.45131142189165485,0.00032930844918844165,"0.5197,0.5078,0.5063,0.4898,0.4993,0.4973,0.4982,0.5040,0.5002,0.5007,0.4963,0.5021,0.4999,0.5048,0.5112,0.4993,0.4993,0.4997,0.5006","0.0073,0.0022,0.0036,0.0000,0.0009,0.0000,0.0020,0.0012,0.0013,0.0011,0.0000,0.0017,0.0003,0.0010,0.0003,0.0013,0.0010,0.0023,0.0018",,,,,,,,,,,,,
fewer,0,u,0.45150723243531876,0.00016985072322471805,"0.5213,0.5078,0.5063,0.4902,0.4993,0.4973,0.4985,0.5083,0.5013,0.5000,0.5001,0.4988,0.4986,0.5042,0.5111,0.4998,0.4998,0.4977,0.5010","0.0073,0.0022,0.0036,0.0009,0.0009,0.0000,0.0025,0.0015,0.0008,0.0000,0.0006,0.0007,0.0005,0.0006,0.0003,0.0016,0.0005,0.0009,0.0015",,,,,,,,,,,,,
fewer,0,random,0.45,0.0,"0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",,,,,,,,,,,,,
fewer,0,p,,,,,0.5013623978201636,0.0,,,,,,,,,,,
fewer,0,msp,,,,,0.497275204359673,0.0,,,,,,,,,,,
fewer,0,margin,,,,,0.497275204359673,0.0,,,,,,,,,,,
fewer,0,entropy,,,,,0.497275204359673,0.0,,,,,,,,,,,
fewer,0,u,,,,,0.497275204359673,0.0,,,,,,,,,,,
fewer,0,random,,,,,0.4995844686648502,0.001211069363030617,0.002113478007189828,,,,,,,,,,
fewer,0,p,,,,,,,,0.5040849673202614,0.0,,,,,,,,
fewer,0,msp,,,,,,,,0.5006535947712418,0.0010652291511768996,,,,,,,,
fewer,0,margin,,,,,,,,0.5006535947712418,0.0010652291511768996,,,,,,,,
fewer,0,entropy,,,,,,,,0.5006535947712418,0.0010652291511768996,,,,,,,,
fewer,0,u,,,,,,,,0.5,0.0,,,,,,,,
fewer,0,random,,,,,,,,0.5002549019607843,0.0008713370309572423,0.001368464144646871,,,,,,,
fewer,0,p,,,,,,,,,,,0.5011668611435239,0.0,,,,,
fewer,0,msp,,,,,,,,,,,0.5050175029171529,0.0009762660753023097,,,,,
fewer,0,margin,,,,,,,,,,,0.5050175029171529,0.0009762660753023097,,,,,
fewer,0,entropy,,,,,,,,,,,0.5047841306884481,0.0009586742546765011,,,,,
fewer,0,u,,,,,,,,,,,0.5042007001166862,0.0006391161697843471,,,,,
fewer,0,random,,,,,,,,,,,0.500524504084014,0.0007750886673927558,0.0009293379085754463,,,,
fewer,0,err-detect-msp,,,,,,,,,,,,,,0.49899965024136017,0.00017085205802257617,0.500056047713373,0.0003821636679996697
fewer,0,err-detect-entropy,,,,,,,,,,,,,,0.49899965024136017,0.00017085205802257617,0.500056047713373,0.0003821636679996697
fewer,0,err-detect-u,,,,,,,,,,,,,,0.49919508789354516,0.00019662822612114355,0.49892188181030417,0.0005388929924897935
rare,0,p,0.4524369663384856,0.0017527562315071727,"0.5188,0.5169,0.5155,0.5108,0.5074,0.5010,0.4907,0.4965,0.5000,0.5019,0.5045,0.4982,0.5002,0.4960,0.5008,0.4988,0.5005,0.4991,0.5006","0.0356,0.0138,0.0000,0.0042,0.0052,0.0043,0.0050,0.0035,0.0000,0.0028,0.0043,0.0022,0.0013,0.0010,0.0011,0.0017,0.0008,0.0000,0.0015",,,,,,,,,,,,,
rare,0,msp,0.45015831266671197,0.0009576746560033879,"0.4875,0.5077,0.4969,0.5046,0.4975,0.4969,0.5075,0.4942,0.5000,0.5062,0.5000,0.4992,0.4969,0.4996,0.5000,0.5004,0.5020,0.4995,0.5006","0.0280,0.0000,0.0046,0.0069,0.0034,0.0046,0.0020,0.0027,0.0034,0.0031,0.0000,0.0011,0.0011,0.0018,0.0000,0.0042,0.0024,0.0022,0.0019",,,,,,,,,,,,,
rare,0,margin,0.45015831266671197,0.0009576746560033879,"0.4875,0.5077,0.4969,0.5046,0.4975,0.4969,0.5075,0.4942,0.5000,0.5062,0.5000,0.4992,0.4969,0.4996,0.5000,0.5004,0.5020,0.4995,0.5006","0.0280,0.0000,0.0046,0.0069,0.0034,0.0046,0.0020,0.0027,0.0034,0.0031,0.0000,0.0011,0.0011,0.0018,0.0000,0.0042,0.0024,0.0022,0.0019",,,,,,,,,,,,,
rare,0,entropy,0.450451112686771,0.0012507364110396475,"0.4875,0.5077,0.4990,0.5046,0.4975,0.4969,0.5066,0.4942,0.5000,0.5062,0.5000,0.4992,0.4974,0.4987,0.5000,0.5031,0.5045,0.4995,0.5003","0.0280,0.0000,0.0056,0.0069,0.0034,0.0046,0.0000,0.0027,0.0034,0.0038,0.0000,0.0011,0.0013,0.0020,0.0000,0.0032,0.0013,0.0014,0.0014",,,,,,,,,,,,,
rare,0,u,0.45072264639362347,0.0015709051300764564,"0.4938,0.5077,0.4990,0.5031,0.4988,0.5103,0.5145,0.4965,0.5000,0.4944,0.4972,0.4997,0.4998,0.4978,0.5000,0.4981,0.5034,0.4971,0.5003","0.0261,0.0000,0.0056,0.0088,0.0028,0.0000,0.0048,0.0021,0.0000,0.0014,0.0040,0.0014,0.0013,0.0016,0.0000,0.0024,0.0016,0.0014,0.0035",,,,,,,,,,,,,
rare,0,random,0.45,0.0,"0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",,,,,,,,,,,,,
rare,0,p,,,,,0.5010309278350515,0.004312680549144705,,,,,,,,,,,
rare,0,msp,,,,,0.49690721649484537,0.0046104494381438805,,,,,,,,,,,
rare,0,margin,,,,,0.49690721649484537,0.0046104494381438805,,,,,,,,,,,
rare,0,entropy,,,,,0.49690721649484537,0.0046104494381438805,,,,,,,,,,,
rare,0,u,,,,,0.5103092783505154,0.0,,,,,,,,,,,
rare,0,random,,,,,0.5015927835051547,0.0025810153913977986,0.004149218969664394,,,,,,,,,,
rare,0,p,,,,,,,,0.5018518518518519,0.0027605777499997526,,,,,,,,
rare,0,msp,,,,,,,,0.5061728395061729,0.0030864197530864335,,,,,,,,
rare,0,margin,,,,,,,,0.5061728395061729,0.0030864197530864335,,,,,,,,
rare,0,entropy,,,,,,,,0.5061728395061729,0.0037800767635543043,,,,,,,,
rare,0,u,,,,,,,,0.49444444444444446,0.0013802888749998763,,,,,,,,
