setting,method,event,n,n_pos,mean_pos,mean_neg,auroc,auroc_inverse_diagnostic,auprc,balanced_acc
common,EviDDIE,#Drug1 may decrease the bronchodilatory activities of #Drug2,722,361,0.5029931091135734,0.5029440064542936,0.7746334052071424,0.22536659479285762,0.6953945755359119,0.5
common,EviDDIE,#Drug1 may decrease the vasoconstricting activities of #Drug,618,309,0.5030976058252427,0.503051253656958,0.8135545291733435,0.1864454708266566,0.758924943374497,0.5
common,EviDDIE,#Drug1 may increase the antihypertensive activities of #Drug,1258,629,0.5024538931478536,0.5024629578537361,0.5268387250057501,0.4731612749942498,0.4870561973962081,0.5
common,EviDDIE,#Drug1 may increase the hyperkalemic activities of #Drug2.,556,278,0.5017797818705036,0.5017950444244604,0.5167951969359764,0.4832048030640236,0.5018343114140387,0.5
common,EviDDIE,#Drug1 may increase the neuromuscular blocking activities of,856,428,0.502469963411215,0.5023467146028037,0.5304748231286576,0.4695251768713425,0.558937172784766,0.5
common,EviDDIE w/o EVI,#Drug1 may decrease the bronchodilatory activities of #Drug2,722,361,0.4977288333795014,0.4977270224376731,0.7732867304578694,0.22671326954213059,0.6971784640849139,0.5
common,EviDDIE w/o EVI,#Drug1 may decrease the vasoconstricting activities of #Drug,618,309,0.49783388569579284,0.4978316834951456,0.8077575643321707,0.1922424356678292,0.7526130729392493,0.5
common,EviDDIE w/o EVI,#Drug1 may increase the antihypertensive activities of #Drug,1258,629,0.49796801176470595,0.49796909001589823,0.5227504227317189,0.4772495772682811,0.4838181480619653,0.5
common,EviDDIE w/o EVI,#Drug1 may increase the hyperkalemic activities of #Drug2.,556,278,0.4979604344244605,0.4979627085611511,0.5181538222659282,0.48184617773407173,0.5003910062647478,0.5
common,EviDDIE w/o EVI,#Drug1 may increase the neuromuscular blocking activities of,856,428,0.4978800705140188,0.4978685214485981,0.5431751681369552,0.4568248318630448,0.5735606162361097,0.5
common,Softmax baseline,#Drug1 may decrease the bronchodilatory activities of #Drug2,722,361,0.4958207815512466,0.4958203995290859,0.5282226195317715,0.4717773804682285,0.4767673294653303,0.5
common,Softmax baseline,#Drug1 may decrease the vasoconstricting activities of #Drug,618,309,0.4960345086731392,0.4960359992556634,0.5363213623652874,0.4636786376347127,0.5014030846693435,0.5
common,Softmax baseline,#Drug1 may increase the antihypertensive activities of #Drug,1258,629,0.4960411214944356,0.4960427033227345,0.494818534984999,0.5051814650150009,0.47518096750069927,0.5
common,Softmax baseline,#Drug1 may increase the hyperkalemic activities of #Drug2.,556,278,0.49606898503597113,0.4960749160071943,0.45400082811448683,0.5459991718855132,0.45602462534628796,0.5
common,Softmax baseline,#Drug1 may increase the neuromuscular blocking activities of,856,428,0.49584326133177575,0.4958198656074766,0.5914381168661019,0.4085618831338982,0.6186766969994403,0.5
fewer,EviDDIE,#Drug1 may decrease effectiveness of #Drug2 as a diagnostic ,66,33,0.5014969872727273,0.5015071093939394,0.5867768595041323,0.4132231404958678,0.5314281256470941,0.5
fewer,EviDDIE,#Drug1 may increase the bronchoconstrictory activities of #D,52,26,0.5019233642307692,0.5019111588461539,0.643491124260355,0.35650887573964496,0.6130581573551528,0.5
