setting,shot,signal,aurc_mean,aurc_sd,curve_mean,curve_sd,coverage_0.30_risk_mean,coverage_0.30_risk_sd,coverage_0.30_random_ci_half,coverage_0.50_risk_mean,coverage_0.50_risk_sd,coverage_0.50_random_ci_half,coverage_0.70_risk_mean,coverage_0.70_risk_sd,coverage_0.70_random_ci_half,coverage_0.90_risk_mean,coverage_0.90_risk_sd,coverage_0.90_random_ci_half,error_auroc_mean,error_auroc_sd,error_auprc_mean,error_auprc_sd
fewer,1,p,0.16861006702878623,0.016184230925319617,"0.0150,0.0278,0.0319,0.0418,0.0475,0.0574,0.0913,0.1456,0.1978,0.2344,0.2524,0.2582,0.2638,0.2705,0.2739,0.2718,0.2714,0.2608,0.2483,0.2362","0.0137,0.0302,0.0182,0.0171,0.0105,0.0122,0.0228,0.0206,0.0200,0.0209,0.0254,0.0295,0.0305,0.0287,0.0323,0.0322,0.0244,0.0201,0.0182,0.0166",,,,,,,,,,,,,,,,
fewer,1,msp,0.09176510784780544,0.006593276460687342,"0.0100,0.0101,0.0168,0.0203,0.0212,0.0278,0.0399,0.0544,0.0674,0.0790,0.0906,0.1025,0.1171,0.1382,0.1524,0.1655,0.1836,0.2045,0.2208,0.2362","0.0137,0.0057,0.0084,0.0144,0.0131,0.0114,0.0162,0.0147,0.0207,0.0214,0.0233,0.0184,0.0169,0.0090,0.0060,0.0058,0.0077,0.0106,0.0156,0.0166",,,,,,,,,,,,,,,,
fewer,1,margin,0.09176510784780544,0.006593276460687342,"0.0100,0.0101,0.0168,0.0203,0.0212,0.0278,0.0399,0.0544,0.0674,0.0790,0.0906,0.1025,0.1171,0.1382,0.1524,0.1655,0.1836,0.2045,0.2208,0.2362","0.0137,0.0057,0.0084,0.0144,0.0131,0.0114,0.0162,0.0147,0.0207,0.0214,0.0233,0.0184,0.0169,0.0090,0.0060,0.0058,0.0077,0.0106,0.0156,0.0166",,,,,,,,,,,,,,,,
fewer,1,entropy,0.09176510784780544,0.006593276460687342,"0.0100,0.0101,0.0168,0.0203,0.0212,0.0278,0.0399,0.0544,0.0674,0.0790,0.0906,0.1025,0.1171,0.1382,0.1524,0.1655,0.1836,0.2045,0.2208,0.2362","0.0137,0.0057,0.0084,0.0144,0.0131,0.0114,0.0162,0.0147,0.0207,0.0214,0.0233,0.0184,0.0169,0.0090,0.0060,0.0058,0.0077,0.0106,0.0156,0.0166",,,,,,,,,,,,,,,,
fewer,1,u,0.263871057179597,0.04149380552337134,"0.4200,0.3443,0.3244,0.2924,0.2778,0.2692,0.2652,0.2684,0.2674,0.2754,0.2736,0.2717,0.2747,0.2723,0.2654,0.2604,0.2551,0.2481,0.2435,0.2362","0.2321,0.1842,0.0842,0.0526,0.0406,0.0357,0.0445,0.0519,0.0489,0.0462,0.0310,0.0294,0.0221,0.0210,0.0143,0.0104,0.0125,0.0144,0.0158,0.0166",,,,,,,,,,,,,,,,
fewer,1,random,0.2243924050632911,0.015784802513372033,"0.2362,0.2362,0.2362,0.2362,0.2362,0.2362,0.2362,0.2362,0.2362,0.2362,0.2362,0.2362,0.2362,0.2362,0.2362,0.2362,0.2362,0.2362,0.2362,0.2362","0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166",,,,,,,,,,,,,,,,
fewer,1,p,,,,,0.057383966244725734,0.01215600024547505,,,,,,,,,,,,,,
fewer,1,msp,,,,,0.027848101265822787,0.011400216106418816,,,,,,,,,,,,,,
fewer,1,margin,,,,,0.027848101265822787,0.011400216106418816,,,,,,,,,,,,,,
fewer,1,entropy,,,,,0.027848101265822787,0.011400216106418816,,,,,,,,,,,,,,
