setting,shot,method,ECE_mean,ECE_std,Brier_mean,Brier_std,NLL_mean,NLL_std,Avg_Conf_mean,Avg_Conf_std,Acc_mean,Acc_std,High_Conf_Error_mean,High_Conf_Error_std
common,0,EviDDIE,0.086577,0.020718,0.236790,0.011451,0.675043,0.035429,0.627950,0.041812,0.607531,0.024877,0.270559,0.186811
common,0,EviDDIE w/o BSA,0.298709,0.054573,0.334296,0.030068,1.104901,0.171839,0.847672,0.038413,0.565187,0.026803,0.384683,0.019924
common,0,EviDDIE w/o EVI,0.120285,0.044774,0.251364,0.017066,0.763897,0.090674,0.738020,0.041870,0.623491,0.021705,0.242498,0.137398
common,0,Softmax baseline,0.113755,0.034764,0.250643,0.014415,0.764642,0.089532,0.713900,0.043113,0.623940,0.015543,0.314662,0.123600
common,1,PharDDIE,0.117747,0.027930,0.225992,0.014305,0.737532,0.089686,0.775168,0.035253,0.682200,0.023516,0.225288,0.042826
common,5,PharDDIE,0.101060,0.025863,0.184702,0.025633,0.676285,0.106381,0.828337,0.021723,0.751414,0.035827,0.165478,0.049479
fewer,0,EviDDIE,0.092553,0.033660,0.255689,0.021308,0.732351,0.076250,0.624088,0.044296,0.582108,0.040525,0.344985,0.301931
fewer,0,EviDDIE w/o BSA,0.261543,0.061675,0.326726,0.046021,1.114274,0.287144,0.802498,0.040427,0.551716,0.035172,0.396846,0.079943
fewer,0,EviDDIE w/o EVI,0.169972,0.074389,0.280686,0.043135,0.875709,0.203581,0.719583,0.054036,0.575735,0.050665,0.296819,0.190202
fewer,0,Softmax baseline,0.150330,0.056143,0.274317,0.042035,0.912771,0.282043,0.699117,0.053805,0.584559,0.055844,0.343729,0.201133
fewer,1,PharDDIE,0.078400,0.019514,0.150820,0.002716,0.456484,0.013026,0.803938,0.033888,0.763797,0.016616,0.052924,0.025972
fewer,5,PharDDIE,0.063024,0.010666,0.115067,0.008570,0.368255,0.019695,0.858628,0.025729,0.838776,0.013659,0.049038,0.013023
rare,0,EviDDIE,0.104030,0.031211,0.218180,0.019534,0.623229,0.041351,0.596111,0.067749,0.661111,0.049582,0.050000,0.111803
rare,0,EviDDIE w/o BSA,0.190839,0.061770,0.250373,0.041501,0.743129,0.122762,0.772393,0.033705,0.642593,0.068230,0.213232,0.073834
rare,0,EviDDIE w/o EVI,0.100508,0.015516,0.217737,0.014527,0.632356,0.034424,0.687880,0.031834,0.656481,0.038927,0.126088,0.078111
rare,0,Softmax baseline,0.098326,0.022930,0.214583,0.012399,0.618257,0.027096,0.666577,0.040463,0.671296,0.032900,0.072133,0.086370
rare,1,PharDDIE,0.116072,0.032691,0.115543,0.008123,0.374247,0.010683,0.815610,0.027788,0.845918,0.016689,0.044794,0.013189
rare,5,PharDDIE,0.093243,0.018310,0.088845,0.011377,0.273649,0.040499,0.880252,0.027181,0.874138,0.019846,0.009226,0.008792
