ECE,Brier,NLL,Avg_Conf,Acc,High_Conf_Error,seed,setting,shot,method,N
0.074610,0.203554,0.606419,0.712113,0.709000,0.156322,19940419,common,1,PharDDIE,4000
0.126242,0.230216,0.841691,0.808656,0.689141,0.248645,19940419,common,5,PharDDIE,3960
0.062178,0.149854,0.459709,0.744175,0.781013,0.017857,19940419,fewer,1,PharDDIE,790
0.053326,0.127074,0.396029,0.818356,0.825073,0.047794,19940419,fewer,5,PharDDIE,686
0.168134,0.108600,0.369722,0.779282,0.867347,0.041667,19940419,rare,1,PharDDIE,196
0.072812,0.103335,0.327022,0.843693,0.862069,0.019231,19940419,rare,5,PharDDIE,116
0.150406,0.240707,0.784153,0.791613,0.645250,0.237662,20230801,common,1,PharDDIE,4000
0.120573,0.176680,0.617542,0.833247,0.760606,0.146280,20230801,common,5,PharDDIE,3960
0.102956,0.146806,0.434726,0.816880,0.749367,0.037356,20230801,fewer,1,PharDDIE,790
0.073714,0.105118,0.359058,0.863402,0.860058,0.053371,20230801,fewer,5,PharDDIE,686
0.110344,0.120133,0.385656,0.799771,0.841837,0.054795,20230801,rare,1,PharDDIE,196
0.119105,0.094348,0.281408,0.872702,0.853448,0.000000,20230801,rare,5,PharDDIE,116
0.131448,0.231280,0.845351,0.790923,0.693500,0.256698,20240115,common,1,PharDDIE,4000
0.066140,0.168455,0.559830,0.803604,0.762879,0.118939,20240115,common,5,PharDDIE,3960
0.084728,0.152445,0.462092,0.811837,0.744304,0.056075,20240115,fewer,1,PharDDIE,790
0.074466,0.108949,0.344006,0.855680,0.842566,0.027933,20240115,fewer,5,PharDDIE,686
0.123795,0.127155,0.385527,0.838357,0.821429,0.034884,20240115,rare,1,PharDDIE,196
0.091299,0.090564,0.290659,0.870683,0.870690,0.014706,20240115,rare,5,PharDDIE,116
0.115979,0.221395,0.704498,0.791021,0.681500,0.214183,20240520,common,1,PharDDIE,4000
0.082147,0.172898,0.701774,0.854575,0.781566,0.166499,20240520,common,5,PharDDIE,3960
0.087027,0.151050,0.456625,0.827569,0.765823,0.083333,20240520,fewer,1,PharDDIE,790
0.052422,0.118674,0.377852,0.889157,0.836735,0.063063,20240520,fewer,5,PharDDIE,686
0.091366,0.108004,0.367782,0.847172,0.852041,0.061856,20240520,rare,1,PharDDIE,196
0.080434,0.073577,0.222141,0.910939,0.905172,0.000000,20240520,rare,5,PharDDIE,116
0.116294,0.233021,0.747241,0.790169,0.681750,0.261576,20240910,common,1,PharDDIE,4000
0.110198,0.175263,0.660585,0.841604,0.762879,0.147025,20240910,common,5,PharDDIE,3960
0.055108,0.153946,0.469267,0.819226,0.778481,0.070000,20240910,fewer,1,PharDDIE,790
0.061193,0.115519,0.364332,0.866545,0.829446,0.053030,20240910,fewer,5,PharDDIE,686
0.086721,0.113823,0.362550,0.813466,0.846939,0.030769,20240910,rare,1,PharDDIE,196
0.102566,0.082403,0.247017,0.903241,0.879310,0.012195,20240910,rare,5,PharDDIE,116
0.119438,0.256228,0.736403,0.627079,0.616459,0.370293,19940419,common,0,EviDDIE,4010
0.346482,0.361249,1.296942,0.885633,0.549875,0.394361,19940419,common,0,EviDDIE w/o BSA,4010
0.166990,0.275031,0.890573,0.765481,0.598753,0.327635,19940419,common,0,EviDDIE w/o EVI,4010
0.140359,0.265261,0.877402,0.740888,0.613716,0.344961,19940419,common,0,Softmax baseline,4010
0.111860,0.277478,0.815267,0.626983,0.557598,0.625000,19940419,fewer,0,EviDDIE,816
0.308739,0.360362,1.369278,0.843053,0.534314,0.445221,19940419,fewer,0,EviDDIE w/o BSA,816
0.230221,0.316583,1.064357,0.762084,0.531863,0.406040,19940419,fewer,0,EviDDIE w/o EVI,816
0.194074,0.307525,1.112957,0.739823,0.547794,0.471698,19940419,fewer,0,Softmax baseline,816
0.136418,0.223231,0.629379,0.573359,0.675926,0.000000,19940419,rare,0,EviDDIE,216
0.277099,0.301976,0.907923,0.814651,0.574074,0.267442,19940419,rare,0,EviDDIE w/o BSA,216
0.109285,0.228752,0.659119,0.724268,0.648148,0.111111,19940419,rare,0,EviDDIE w/o EVI,216
0.100864,0.214748,0.610635,0.697990,0.675926,0.096774,19940419,rare,0,Softmax baseline,216
0.079662,0.234838,0.663616,0.695580,0.620200,0.000000,20230801,common,0,EviDDIE,4010
0.204696,0.282538,0.830172,0.783015,0.612469,0.350610,20230801,common,0,EviDDIE w/o BSA,4010
0.059850,0.232231,0.657648,0.671154,0.619701,0.000000,20230801,common,0,EviDDIE w/o EVI,4010
0.075580,0.234608,0.663953,0.650612,0.624439,0.102041,20230801,common,0,Softmax baseline,4010
0.083900,0.234898,0.663973,0.694383,0.620098,0.000000,20230801,fewer,0,EviDDIE,816
0.176148,0.264155,0.757857,0.739016,0.584559,0.276316,20230801,fewer,0,EviDDIE w/o BSA,816
0.078693,0.222649,0.634618,0.638549,0.634804,0.000000,20230801,fewer,0,EviDDIE w/o EVI,816
0.105029,0.220500,0.629463,0.620487,0.669118,0.000000,20230801,fewer,0,Softmax baseline,816
0.086804,0.184935,0.552934,0.711824,0.731481,0.000000,20230801,rare,0,EviDDIE,216
0.119023,0.198831,0.587828,0.734110,0.745370,0.156250,20230801,rare,0,EviDDIE w/o BSA,216
0.086845,0.195147,0.575041,0.645420,0.717593,0.000000,20230801,rare,0,EviDDIE w/o EVI,216
0.122879,0.206774,0.601669,0.609522,0.717593,0.000000,20230801,rare,0,Softmax baseline,216
0.088651,0.225771,0.645348,0.626363,0.613466,0.153846,20240115,common,0,EviDDIE,4010
0.315307,0.341946,1.129700,0.854094,0.548878,0.385057,20240115,common,0,EviDDIE w/o BSA,4010
0.124610,0.247777,0.755368,0.767392,0.653616,0.317429,20240115,common,0,EviDDIE w/o EVI,4010
0.132138,0.258268,0.804910,0.756494,0.643890,0.343202,20240115,common,0,Softmax baseline,4010
0.124751,0.246736,0.694197,0.610898,0.629902,0.190476,20240115,fewer,0,EviDDIE,816
0.251680,0.312785,1.031971,0.800926,0.575980,0.367893,20240115,fewer,0,EviDDIE w/o BSA,816
0.174266,0.278985,0.836419,0.739836,0.615196,0.422330,20240115,fewer,0,EviDDIE w/o EVI,816
0.147198,0.271168,0.807839,0.727842,0.599265,0.396947,20240115,fewer,0,Softmax baseline,816
0.072655,0.218274,0.626557,0.597071,0.611111,0.250000,20240115,rare,0,EviDDIE,216
0.146062,0.227219,0.674455,0.761446,0.662037,0.132075,20240115,rare,0,EviDDIE w/o BSA,216
0.103794,0.223754,0.646736,0.706307,0.615741,0.176471,20240115,rare,0,EviDDIE w/o EVI,216
0.112512,0.216940,0.629783,0.700426,0.652778,0.055556,20240115,rare,0,Softmax baseline,216
0.082375,0.234068,0.669317,0.607449,0.623940,0.441558,20240520,common,0,EviDDIE,4010
0.307305,0.344522,1.175491,0.861919,0.554613,0.391971,20240520,common,0,EviDDIE w/o BSA,4010
0.157560,0.261506,0.809945,0.763944,0.609476,0.298669,20240520,common,0,EviDDIE w/o EVI,4010
0.144320,0.259431,0.794237,0.731576,0.604489,0.357323,20240520,common,0,Softmax baseline,4010
0.103759,0.279633,0.814767,0.615592,0.537990,0.698925,20240520,fewer,0,EviDDIE,816
0.332709,0.382162,1.444981,0.831484,0.498775,0.484456,20240520,fewer,0,EviDDIE w/o BSA,816
0.253330,0.327951,1.103671,0.765665,0.518382,0.444043,20240520,fewer,0,EviDDIE w/o EVI,816
0.218332,0.323456,1.297626,0.741616,0.523284,0.500000,20240520,fewer,0,Softmax baseline,816
0.138921,0.232850,0.653838,0.553689,0.671296,0.000000,20240520,rare,0,EviDDIE,216
0.196038,0.242339,0.737087,0.799844,0.643519,0.202703,20240520,rare,0,EviDDIE w/o BSA,216
0.119846,0.211548,0.626276,0.697681,0.666667,0.200000,20240520,rare,0,EviDDIE w/o EVI,216
0.092535,0.200880,0.590028,0.686218,0.680556,0.208333,20240520,rare,0,Softmax baseline,216
0.062759,0.233045,0.660530,0.583279,0.563591,0.387097,20240910,common,0,EviDDIE,4010
0.319754,0.341224,1.092197,0.853697,0.560100,0.401415,20240910,common,0,EviDDIE w/o BSA,4010
0.092412,0.240273,0.705951,0.722128,0.635910,0.268759,20240910,common,0,EviDDIE w/o EVI,4010
0.076379,0.235644,0.682708,0.689929,0.633167,0.425781,20240910,common,0,Softmax baseline,4010
0.038496,0.239702,0.673550,0.572584,0.564951,0.210526,20240910,fewer,0,EviDDIE,816
0.238441,0.314164,0.967284,0.798011,0.564951,0.410345,20240910,fewer,0,EviDDIE w/o BSA,816
0.113350,0.257263,0.739480,0.691781,0.578431,0.211679,20240910,fewer,0,EviDDIE w/o EVI,816
0.087020,0.248936,0.715969,0.665816,0.583333,0.350000,20240910,fewer,0,Softmax baseline,816
0.085350,0.231609,0.653438,0.544613,0.615741,0.000000,20240910,rare,0,EviDDIE,216
0.215971,0.281503,0.808350,0.751916,0.587963,0.307692,20240910,rare,0,EviDDIE w/o BSA,216
0.082773,0.229485,0.654606,0.665722,0.634259,0.142857,20240910,rare,0,EviDDIE w/o EVI,216
0.062843,0.233572,0.659169,0.638731,0.629630,0.000000,20240910,rare,0,Softmax baseline,216
