rank,drug_a,drug_b,a_name,b_name,event,prob_mean,u_mean,r,faers_prr_max_strict,faers_ror95_lcl_max_strict,n_faers_reports
1,DLSWIYLPEUIQAV,JZUFKLXOESDKRF,Semaglutide,Hydrochlorothiazide,PT-18561528,0.42399363599999995,0.830360364,0.07192612607735648,66829.15238095238,23051.348071574947,139
2,ALEXXDVDDISNDU,RZEKVGVHFLEQIL,Hydrocortisone acetate,Celecoxib,PT-21612999,0.42391457,0.830496668,0.07185493209834724,28669.29839704069,1685.009926572578,3243
3,GFNANZIMVAIWHM,QZUDBNBUXVUHMW,Triamcinolone,Clozapine,PT-16599628,0.42411013200000003,0.830761704,0.07177567605601506,320085.13333333336,127308.36137631266,19
4,ITRJWOMZKQRYTA,KWGRBVOPPLSCSI,Cortisone acetate,Ephedrine,PT-20937945,0.424127042,0.83085816,0.07173762827763727,28380.381751602075,1667.9781182112786,3276
5,JCQLYHFGKNRPGE,RTHCYVBBDHJXIQ,Lactulose,(R)-Fluoxetine,PT-18265723,0.42483161,0.832038028,0.07135555498353491,19591.472148541117,6184.398473574445,376
6,KJADKKWYZYXHBB,KWTSXDURSIMDCE,Topiramate,Amphetamine,PT-18339940,0.42648090200000005,0.835531878,0.07014251302080607,54677.41038961039,16653.42338432871,219
7,FBOZXECLQNJBKD,URKOMYMAXPYINW,Methotrexate,Quetiapine,PT-8859257,0.427656886,0.83748359,0.06950126182449924,37757.38143353332,2253.566682069588,3166
8,JIVPVXMEBJLZRO,ZZVUWRFHKOJYTH,2-chloro-5-[(1S)-1-hydroxy-3-oxo-2H-isoindol-1-yl]benzenesulfonamide,Dimenhydrinate,PT-18517210,0.42759179,0.837640578,0.06942355587634537,279770.95959595963,17073.40667626671,395
9,IPVQLZZIHOAWMC,MCJGNVYPOGVAJF,Perindopril,Indium In-111 oxyquinoline,PT-18813849,0.427809696,0.838096584,0.06926385118032155,189940.88571428572,73992.02177746226,13
10,VOVIALXJUBGFJZ,XZWYZXLIPXDOLR,Budesonide,Metformin,PT-18358513,0.42745623200000005,0.838070128,0.0692179329333623,46865.34590616376,2775.395128376972,2173
