rank,drug_a,drug_b,a_name,b_name,event,prob_mean,u_mean,r,semantic_overlap,n_faers_reports,faers_prr_max_strict,faers_ror95_lcl_max_strict
1,DB09239,DB00388,Dexniguldipine,Phenylephrine,The risk or severity of hypertension decrease,0.685225402,0.629549076,0.25384238331917147,yes,,,
2,DB00231,DB00388,Temazepam,Phenylephrine,The risk or severity of hypertension decrease,0.679268584,0.64146285,0.24354302219189558,yes,,,
3,DB00388,DB09089,Phenylephrine,Trimebutine,The risk or severity of hypertension decrease,0.678720904,0.642558156,0.24260325148710696,yes,,,
4,DB00842,DB00388,Oxazepam,Phenylephrine,The risk or severity of hypertension decrease,0.676633906,0.646732174,0.23903298897050831,yes,,,
5,DB01559,DB00388,Clotiazepam,Phenylephrine,The risk or severity of hypertension decrease,0.673070194,0.6538596400000001,0.2329767592564298,yes,,,
6,DB01595,DB00388,Nitrazepam,Phenylephrine,The risk or severity of hypertension decrease,0.672266244,0.655467464,0.2316175939125148,yes,,,
7,DB06446,DB00388,Dotarizine,Phenylephrine,The risk or severity of hypertension decrease,0.670686578,0.6586268040000001,0.22895442064616323,yes,,,
8,DB01587,DB00388,Ketazolam,Phenylephrine,The risk or severity of hypertension decrease,0.6706060899999999,0.6587877719999999,0.22881899807926853,yes,,,
9,DB00829,DB00388,Diazepam,Phenylephrine,The risk or severity of hypertension decrease,0.669952512,0.66009494,0.2277202487885107,yes,,,
10,DB00186,DB00388,Lorazepam,Phenylephrine,The risk or severity of hypertension decrease,0.66907394,0.661852026,0.22624599726719752,yes,,,
11,DB00388,DB12093,Phenylephrine,Tetrahydropalmatine,The risk or severity of hypertension decrease,0.668443216,0.663113426,0.22518954495178198,yes,,,
12,DB00690,DB00388,Flurazepam,Phenylephrine,The risk or severity of hypertension decrease,0.668007218,0.663985516,0.2244601006645455,yes,,,
13,DB01235,DB09089,Levodopa,Trimebutine,The absorption decrease,0.6672557259999999,0.665488256,0.22320487659824617,no,,,
14,DB01544,DB00388,Flunitrazepam,Phenylephrine,The risk or severity of hypertension decrease,0.666958618,0.666082728,0.2227090022594501,yes,,,
15,DB08838,DB00388,Agmatine,Phenylephrine,The risk or severity of hypertension decrease,0.666327466,0.6673449899999999,0.22165716986550474,yes,,,
16,DB09166,DB00388,Etizolam,Phenylephrine,The risk or severity of hypertension decrease,0.665441502,0.6691169739999999,0.2201832978077451,yes,,,
17,DB01235,DB12278,Levodopa,Propiverine,The absorption decrease,0.665025974,0.669947862,0.21949324454423239,no,,,
18,DB00349,DB00388,Clobazam,Phenylephrine,The risk or severity of hypertension decrease,0.66461401,0.670771886,0.2188096170502771,yes,,,
19,DB00388,DB09238,Phenylephrine,Manidipine,The risk or severity of hypertension decrease,0.663224472,0.673550964,0.21650898953600897,yes,,,
20,DB01151,DB01151,Desipramine,Desipramine,The serum concentration of the active metabolites increase,0.662912512,0.674174772,0.21599362036645275,yes,,,
