ik14,status,cid,smiles,error
AADCDMQTJNYOSS,ok,51371474,CCC1=CC(=C(C(=C1O)C(=O)NCC2CCC[NH+]2CC)OC)Cl,
AAFJXZWCNVJTMK,ok,178256861,C1C(O1)C(C(C2CO2)O)O,
AAKJLRGGTJKAMG,ok,153713420,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,
AAOVKJBEBIDNHE,ok,165361942,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,
AAQOQKQBGPPFNS,ok,2431,CC[N+](C)(C)CC1=CC=CC=C1Br,
AAXVEMMRQDVLJB,ok,178250544,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F,
ACAXGYADTLFREX,ok,11090378,CC(CN(C)C)NC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OC,
ACCMWZWAEFYUGZ,ok,172653311,CCOCCN1C2=CC=CC=C2N=C1C3CCN(CC3)CCC4=CC=C(C=C4)C(C)(C)C(=O)O,
ACGDKVXYNVEAGU,ok,6992024,C1CCC[NH+](CCC1)CC[NH+]=C(N)N,
ACRHBAYQBXXRTO,ok,178251300,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CC3CC4=CC(=C(C=C34)OC)OC,
ACSIXWWBWUQEHA,ok,146015374,C(P(=O)([OH2+])[O-])(P(=O)([OH2+])[O-])(Cl)Cl,
ACTIUHUUMQJHFO,ok,162642110,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,
ACTOXUHEUCPTEW,ok,177839066,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C,
ACWBQPMHZXGDFX,ok,177834092,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,
ACWZRVQXLIRSDF,ok,173640837,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO,
ADEBPBSSDYVVLD,ok,177835674,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,
ADFCQWZHKCXPAJ,ok,178856164,C1C(COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O,
ADFOJJHRTBFFOF,ok,146159091,CC12CCC3C(C1CCC2OP(=O)(O)O)CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl,
ADIMAYPTOBDMTL,ok,76973968,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,
ADUKCCWBEDSMEB,ok,162640517,CC(C)NCC(COC1=CC=C(C=C1)O)O,
ADXGNEYLLLSOAR,ok,60919,CC1=C2CCC(=O)N(C2=NC(=N1)C)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,
AELCINSCMGFISI,ok,168007241,C1C(C1N)C2=CC=CC=C2,
AEMFNILZOJDQLW,ok,178856451,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,
AEOCXXJPGCBFJA,ok,153701019,CCC1=NC=CC(=C1)C(=S)N,
