ECE,Brier,NLL,Avg_Conf,Acc,High_Conf_Error,seed,setting,shot,method,N
0.130905,0.243517,0.942059,0.780782,0.650250,0.296703,19940419,common,1,PharDDIE,4000
0.124117,0.230613,0.841986,0.806292,0.688131,0.251389,19940419,common,5,PharDDIE,3960
0.140755,0.228671,0.866604,0.834600,0.696675,0.228538,19940419,common,10,PharDDIE,3910
0.035504,0.162648,0.683540,0.770372,0.769620,0.041667,19940419,fewer,1,PharDDIE,790
0.040103,0.130683,0.413368,0.827423,0.827988,0.062500,19940419,fewer,5,PharDDIE,686
0.075567,0.151075,0.534244,0.868232,0.794964,0.108911,19940419,fewer,10,PharDDIE,556
0.057426,0.143914,0.442978,0.771695,0.780612,0.034483,19940419,rare,1,PharDDIE,196
0.074816,0.091629,0.303459,0.826208,0.862069,0.020833,19940419,rare,5,PharDDIE,116
0.094762,0.087278,0.292991,0.868272,0.900000,0.062500,19940419,rare,10,PharDDIE,30
0.145925,0.238307,0.777165,0.792300,0.649750,0.234029,20230801,common,1,PharDDIE,4000
0.068736,0.176952,0.620417,0.829848,0.761111,0.152672,20230801,common,5,PharDDIE,3960
0.140755,0.228671,0.866603,0.834600,0.696675,0.228538,20230801,common,10,PharDDIE,3910
0.067047,0.150790,0.444531,0.816544,0.750633,0.043353,20230801,fewer,1,PharDDIE,790
0.055887,0.117050,0.387474,0.862949,0.841108,0.056497,20230801,fewer,5,PharDDIE,686
0.075567,0.151075,0.534244,0.868232,0.794964,0.108911,20230801,fewer,10,PharDDIE,556
0.056413,0.132388,0.428999,0.806414,0.826531,0.090909,20230801,rare,1,PharDDIE,196
0.055938,0.073812,0.232237,0.854315,0.879310,0.000000,20230801,rare,5,PharDDIE,116
0.094762,0.087278,0.292992,0.868272,0.900000,0.062500,20230801,rare,10,PharDDIE,30
0.116820,0.230481,0.845511,0.789540,0.691000,0.252774,20240115,common,1,PharDDIE,4000
0.036508,0.165349,0.551470,0.801345,0.770202,0.119784,20240115,common,5,PharDDIE,3960
0.140755,0.228671,0.866603,0.834600,0.696675,0.228538,20240115,common,10,PharDDIE,3910
0.060960,0.152777,0.464296,0.815481,0.756962,0.065421,20240115,fewer,1,PharDDIE,790
0.024081,0.107760,0.339598,0.857379,0.842566,0.029810,20240115,fewer,5,PharDDIE,686
0.075567,0.151075,0.534244,0.868232,0.794964,0.108911,20240115,fewer,10,PharDDIE,556
0.067349,0.149509,0.457566,0.830388,0.795918,0.069767,20240115,rare,1,PharDDIE,196
0.058552,0.089489,0.299622,0.866022,0.870690,0.032258,20240115,rare,5,PharDDIE,116
0.094762,0.087278,0.292991,0.868272,0.900000,0.062500,20240115,rare,10,PharDDIE,30
0.110528,0.220859,0.705675,0.792278,0.681750,0.221258,20240520,common,1,PharDDIE,4000
0.087819,0.172259,0.702230,0.854630,0.778788,0.169270,20240520,common,5,PharDDIE,3960
0.140755,0.228671,0.866603,0.834600,0.696675,0.228538,20240520,common,10,PharDDIE,3910
0.064230,0.149932,0.456441,0.828220,0.774684,0.087071,20240520,fewer,1,PharDDIE,790
0.056232,0.117937,0.377317,0.892765,0.839650,0.061364,20240520,fewer,5,PharDDIE,686
0.075567,0.151075,0.534244,0.868232,0.794964,0.108911,20240520,fewer,10,PharDDIE,556
0.052647,0.114518,0.387676,0.845892,0.841837,0.066038,20240520,rare,1,PharDDIE,196
0.063506,0.064684,0.200364,0.902331,0.922414,0.000000,20240520,rare,5,PharDDIE,116
0.094762,0.087278,0.292992,0.868272,0.900000,0.062500,20240520,rare,10,PharDDIE,30
0.109419,0.230231,0.740719,0.791136,0.684000,0.263158,20240910,common,1,PharDDIE,4000
0.073623,0.172907,0.653717,0.838775,0.765152,0.146132,20240910,common,5,PharDDIE,3960
0.140755,0.228671,0.866603,0.834600,0.696675,0.228538,20240910,common,10,PharDDIE,3910
0.069223,0.155528,0.468109,0.813957,0.767089,0.058824,20240910,fewer,1,PharDDIE,790
0.080780,0.137849,0.425074,0.876481,0.803207,0.067633,20240910,fewer,5,PharDDIE,686
0.075567,0.151075,0.534244,0.868232,0.794964,0.108911,20240910,fewer,10,PharDDIE,556
0.043748,0.125831,0.394017,0.818248,0.821429,0.044118,20240910,rare,1,PharDDIE,196
0.027609,0.065715,0.213162,0.906566,0.922414,0.012195,20240910,rare,5,PharDDIE,116
0.094762,0.087278,0.292991,0.868272,0.900000,0.062500,20240910,rare,10,PharDDIE,30
0.085726,0.214585,0.618444,0.746476,0.660750,0.094595,2024,common,1,w/o uncertainty,4000
0.088249,0.222391,0.666752,0.746330,0.658081,0.171242,2024,common,5,w/o uncertainty,3960
0.157725,0.252450,0.792575,0.801549,0.644246,0.267806,2024,common,10,w/o uncertainty,3910
0.053091,0.186095,0.553113,0.746225,0.726582,0.098837,2024,fewer,1,w/o uncertainty,790
0.097300,0.176470,0.525675,0.821525,0.731778,0.101307,2024,fewer,5,w/o uncertainty,686
0.128459,0.190241,0.606507,0.853279,0.724820,0.141914,2024,fewer,10,w/o uncertainty,556
0.077060,0.132441,0.420426,0.754573,0.831633,0.022727,2024,rare,1,w/o uncertainty,196
0.046106,0.117146,0.367147,0.841272,0.844828,0.017544,2024,rare,5,w/o uncertainty,116
0.128205,0.148578,0.492389,0.851157,0.833333,0.111111,2024,rare,10,w/o uncertainty,30
0.142593,0.262995,0.816612,0.736141,0.595250,0.243902,2025,common,1,w/o uncertainty,4000
0.079012,0.222660,0.659968,0.735325,0.656313,0.169128,2025,common,5,w/o uncertainty,3960
0.176454,0.251408,0.784371,0.818142,0.641688,0.228081,2025,common,10,w/o uncertainty,3910
0.076387,0.168032,0.498227,0.754125,0.778481,0.011696,2025,fewer,1,w/o uncertainty,790
0.074567,0.181293,0.530271,0.796141,0.721574,0.072243,2025,fewer,5,w/o uncertainty,686
0.129020,0.185646,0.561464,0.851809,0.724820,0.100694,2025,fewer,10,w/o uncertainty,556
0.086561,0.167637,0.514722,0.719702,0.775510,0.058824,2025,rare,1,w/o uncertainty,196
0.085154,0.116903,0.345038,0.825313,0.810345,0.000000,2025,rare,5,w/o uncertainty,116
0.198406,0.184812,0.650675,0.887972,0.800000,0.222222,2025,rare,10,w/o uncertainty,30
0.153326,0.261312,0.788111,0.747576,0.594250,0.234375,2026,common,1,w/o uncertainty,4000
0.102972,0.234479,0.763802,0.749184,0.646212,0.234017,2026,common,5,w/o uncertainty,3960
0.169574,0.260710,0.771977,0.769574,0.600000,0.237697,2026,common,10,w/o uncertainty,3910
0.076353,0.217569,0.678840,0.737113,0.660759,0.155280,2026,fewer,1,w/o uncertainty,790
0.098673,0.185106,0.543913,0.804759,0.709913,0.072993,2026,fewer,5,w/o uncertainty,686
0.088527,0.169259,0.496791,0.829535,0.741007,0.077821,2026,fewer,10,w/o uncertainty,556
0.065448,0.178513,0.572887,0.709170,0.729592,0.100000,2026,rare,1,w/o uncertainty,196
0.044129,0.118977,0.375116,0.835633,0.810345,0.034483,2026,rare,5,w/o uncertainty,116
0.076301,0.102718,0.316230,0.863960,0.866667,0.000000,2026,rare,10,w/o uncertainty,30
0.031852,0.200070,0.584575,0.715714,0.688750,0.095694,2027,common,1,w/o uncertainty,4000
0.093034,0.221055,0.659452,0.742276,0.649242,0.178474,2027,common,5,w/o uncertainty,3960
0.147230,0.243937,0.749199,0.794033,0.646803,0.218391,2027,common,10,w/o uncertainty,3910
0.044392,0.149839,0.455275,0.767207,0.792405,0.015625,2027,fewer,1,w/o uncertainty,790
0.066307,0.169888,0.507088,0.816064,0.755102,0.079585,2027,fewer,5,w/o uncertainty,686
0.092335,0.152358,0.477845,0.861828,0.785971,0.098726,2027,fewer,10,w/o uncertainty,556
0.088238,0.121456,0.389695,0.771588,0.857143,0.037037,2027,rare,1,w/o uncertainty,196
0.101564,0.142002,0.432699,0.848626,0.784483,0.053571,2027,rare,5,w/o uncertainty,116
0.081051,0.061157,0.208106,0.859010,0.900000,0.000000,2027,rare,10,w/o uncertainty,30
0.075745,0.217781,0.636048,0.726437,0.653250,0.159919,2028,common,1,w/o uncertainty,4000
0.091054,0.221194,0.652090,0.753689,0.663384,0.171856,2028,common,5,w/o uncertainty,3960
0.179377,0.264713,0.784913,0.788584,0.609207,0.262799,2028,common,10,w/o uncertainty,3910
0.065475,0.199022,0.573823,0.744156,0.691139,0.043210,2028,fewer,1,w/o uncertainty,790
0.059839,0.165285,0.493490,0.813483,0.753644,0.065217,2028,fewer,5,w/o uncertainty,686
0.103924,0.165448,0.512157,0.844344,0.755396,0.081272,2028,fewer,10,w/o uncertainty,556
0.057467,0.154828,0.479075,0.755547,0.790816,0.071429,2028,rare,1,w/o uncertainty,196
0.048542,0.106651,0.334164,0.842838,0.844828,0.035714,2028,rare,5,w/o uncertainty,116
0.111261,0.140836,0.425189,0.856068,0.800000,0.071429,2028,rare,10,w/o uncertainty,30
0.000100,0.250000,0.693147,0.500100,0.500000,0.000000,19940419,common,0,EviDDIE,4010
0.000523,0.250001,0.693148,0.500523,0.500000,0.000000,19940419,common,0,EviDDIE w/o EVI,4010
0.002842,0.250010,0.693167,0.502842,0.500000,0.000000,19940419,common,0,Softmax baseline,4010
0.000072,0.250000,0.693147,0.500072,0.500000,0.000000,19940419,fewer,0,EviDDIE,816
0.002306,0.250011,0.693168,0.502306,0.500000,0.000000,19940419,fewer,0,EviDDIE w/o EVI,816
0.003933,0.250016,0.693180,0.503933,0.500000,0.000000,19940419,fewer,0,Softmax baseline,816
0.000066,0.250000,0.693147,0.500066,0.500000,0.000000,19940419,rare,0,EviDDIE,216
0.002649,0.250012,0.693170,0.502649,0.500000,0.000000,19940419,rare,0,EviDDIE w/o EVI,216
0.004351,0.250020,0.693188,0.504351,0.500000,0.000000,19940419,rare,0,Softmax baseline,216
0.000100,0.250000,0.693147,0.500100,0.500000,0.000000,20230801,common,0,EviDDIE,4010
0.000523,0.250001,0.693148,0.500523,0.500000,0.000000,20230801,common,0,EviDDIE w/o EVI,4010
0.002842,0.250010,0.693167,0.502842,0.500000,0.000000,20230801,common,0,Softmax baseline,4010
0.000072,0.250000,0.693147,0.500072,0.500000,0.000000,20230801,fewer,0,EviDDIE,816
0.002306,0.250011,0.693168,0.502306,0.500000,0.000000,20230801,fewer,0,EviDDIE w/o EVI,816
0.003933,0.250016,0.693180,0.503933,0.500000,0.000000,20230801,fewer,0,Softmax baseline,816
0.000066,0.250000,0.693147,0.500066,0.500000,0.000000,20230801,rare,0,EviDDIE,216
0.002649,0.250011,0.693170,0.502649,0.500000,0.000000,20230801,rare,0,EviDDIE w/o EVI,216
0.004351,0.250020,0.693188,0.504351,0.500000,0.000000,20230801,rare,0,Softmax baseline,216
0.000100,0.250000,0.693147,0.500100,0.500000,0.000000,20240115,common,0,EviDDIE,4010
0.000523,0.250001,0.693148,0.500523,0.500000,0.000000,20240115,common,0,EviDDIE w/o EVI,4010
0.002842,0.250010,0.693167,0.502842,0.500000,0.000000,20240115,common,0,Softmax baseline,4010
0.000072,0.250000,0.693147,0.500072,0.500000,0.000000,20240115,fewer,0,EviDDIE,816
0.002306,0.250011,0.693169,0.502306,0.500000,0.000000,20240115,fewer,0,EviDDIE w/o EVI,816
0.003933,0.250016,0.693180,0.503933,0.500000,0.000000,20240115,fewer,0,Softmax baseline,816
0.000066,0.250000,0.693147,0.500066,0.500000,0.000000,20240115,rare,0,EviDDIE,216
0.002649,0.250011,0.693170,0.502649,0.500000,0.000000,20240115,rare,0,EviDDIE w/o EVI,216
0.004351,0.250020,0.693188,0.504351,0.500000,0.000000,20240115,rare,0,Softmax baseline,216
